"","index","cv","cv.error","mode"
"1",0,0.0318691558441558,0.00256134962518188,"fraction"
"2",0.0101010101010101,0.0279694065634404,0.00229013873202193,"fraction"
"3",0.0202020202020202,0.0249352402887696,0.00209363625500765,"fraction"
"4",0.0303030303030303,0.0221565231887156,0.00192691395000957,"fraction"
"5",0.0404040404040404,0.0197302557418737,0.00174986497148279,"fraction"
"6",0.0505050505050505,0.0174872847290073,0.00157638281904054,"fraction"
"7",0.0606060606060606,0.0154429780323261,0.00141935311051726,"fraction"
"8",0.0707070707070707,0.0136206493001907,0.00127230842544778,"fraction"
"9",0.0808080808080808,0.0120080679480393,0.00113549076359918,"fraction"
"10",0.0909090909090909,0.010603645745423,0.0010108935903901,"fraction"
"11",0.101010101010101,0.00943065649090807,0.000890216250387917,"fraction"
"12",0.111111111111111,0.00851576363086299,0.000767731870344665,"fraction"
"13",0.121212121212121,0.00778987944112819,0.00066445800285352,"fraction"
"14",0.131313131313131,0.00718996073911697,0.000586877442164906,"fraction"
"15",0.141414141414141,0.00657503553379215,0.000524063568835015,"fraction"
"16",0.151515151515152,0.00599714980783164,0.000466071433523447,"fraction"
"17",0.161616161616162,0.00545767062585211,0.000412475488145282,"fraction"
"18",0.171717171717172,0.00495666145326031,0.000363184267044299,"fraction"
"19",0.181818181818182,0.00449392263655719,0.000318209560810331,"fraction"
"20",0.191919191919192,0.00406953657739519,0.000277339949179647,"fraction"
"21",0.202020202020202,0.00368262608664048,0.000240562973326351,"fraction"
"22",0.212121212121212,0.003333539782096,0.000207589526595851,"fraction"
"23",0.222222222222222,0.00302399510786017,0.000177727163572646,"fraction"
"24",0.232323232323232,0.00275423512897678,0.00015124056960767,"fraction"
"25",0.242424242424242,0.00252594304391923,0.000128134538030432,"fraction"
"26",0.252525252525253,0.00233993013989056,0.000110220970033039,"fraction"
"27",0.262626262626263,0.00219974122313098,9.84111121014071e-05,"fraction"
"28",0.272727272727273,0.00209127537543478,9.48122871457212e-05,"fraction"
"29",0.282828282828283,0.00201548191058428,9.82159167765822e-05,"fraction"
"30",0.292929292929293,0.00197480869487425,0.000104686721940309,"fraction"
"31",0.303030303030303,0.00196276369168644,0.000111499308567882,"fraction"
"32",0.313131313131313,0.00198262989217932,0.000115087513469355,"fraction"
"33",0.323232323232323,0.00201218090411189,0.000117231728660848,"fraction"
"34",0.333333333333333,0.002047983333452,0.000118231516627377,"fraction"
"35",0.343434343434343,0.00207652217421622,0.000119168680950923,"fraction"
"36",0.353535353535354,0.00210208049587481,0.000120746791325161,"fraction"
"37",0.363636363636364,0.00212768871341056,0.000121529177129193,"fraction"
"38",0.373737373737374,0.00215517559821113,0.000122130781341143,"fraction"
"39",0.383838383838384,0.00218190370170686,0.000122312454379185,"fraction"
"40",0.393939393939394,0.00220675768315743,0.000122482275159745,"fraction"
"41",0.404040404040404,0.00222883607172136,0.000123032489937388,"fraction"
"42",0.414141414141414,0.00224895207786976,0.000124044997302769,"fraction"
